452 4
6.10352e-05 -0.499939 | 0.0547952 
0.500061 -0.499939 | 0.0352958 
1.00006 -0.999939 | 0.0402958 
1.82135 -0.871399 | 0.0218407 
1.56573 -0.511902 | 0.010829 
1.73419 -0.374573 | 0.00446257 
1.92792 -0.378601 | 0.0031601 
1.89325 -0.240417 | -0.000811016 9.77636 
1.6629 -0.0159302 | -0.0048304 9.21024 
1.60028 -0.0516968 | -0.00323592 8.88377 
1.32733 -0.2005 | 0.00472952 
1.19916 -0.493713 | 0.0162035 
1.00006 6.10352e-05 | 0.00629707 
1.12836 0.1203 | 0.000641703 
1.03412 0.198792 | 0.00111698 
1.03436 0.372131 | -0.00205923 3.17841 
1.09833 0.445618 | -0.00467225 3.85764 
1.14703 0.266052 | -0.00269004 4.7706 
1.39752 0.0682983 | -0.0032528 7.46765 
1.53217 0.294006 | -0.00983173 8.26398 
1.95844 0.687805 | -0.019293 8.80531 
1.53253 0.798279 | -0.0164311 6.88933 
1.3382 0.579407 | -0.0112216 6.11916 
1.13666 0.794983 | -0.00955264 3.2439 
1.10834 0.966614 | -0.010038 2.14288 
0.993591 0.797913 | -0.00632904 1.3746 
0.917786 0.806458 | -0.00451051 0.240816 
0.897522 0.756042 | -0.00356453 0.13032 
0.901794 0.796326 | -0.00401709 0.0392783 
0.885803 0.832947 | -0.00388159 -0.355573 -179.737 -1.3795 
0.921936 0.830505 | -0.00480026 0.204667 
0.929138 0.860779 | -0.00519839 0.184142 
0.892395 0.874207 | -0.00434028 -0.429959 -179.597 -1.45456 
0.88324 0.843811 | -0.00389272 -0.440831 -177.048 -1.41277 
0.849792 0.844788 | -0.00300764 -0.971508 -153.551 -1.42944 
0.860046 0.795959 | -0.00291276 -0.608144 -166.07 -1.32456 
0.808899 0.77655 | -0.00135528 -1.35981 -126.622 -1.35771 
0.79071 0.814514 | -0.00115304 -1.81401 -106.526 -1.34867 
0.762634 0.937195 | -0.00114913 -2.82829 -68.2029 -0.715235 
0.867859 0.892395 | -0.00380779 -0.891919 -161.98 -1.42853 
0.790222 0.965149 | -0.00207371 -2.49241 -91.0172 -0.73381 
0.713928 0.957092 | 0.000174135 
0.714905 0.883484 | 0.000556902 
0.53363 0.942932 | 0.00592872 
0.526306 0.662659 | 0.00839987 
0.721497 0.578796 | 0.00321866 
0.801941 0.609924 | 0.000527585 
0.76593 0.707947 | 0.000486726 
0.766541 0.741882 | 0.000146779 
0.803528 0.746887 | -0.000945543 -1.33589 -124.839 -1.29351 
